,Title,Platform,Userscore,Comment,Username
0,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"Everything in OoT is so near at perfection, its really no wonder that this game has such a huge fanbase and is so highly rated among players and critics.",SirCaestus
1,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"I won't bore you with what everyone is already saying about how amazing this game is.  But if you're on the fence about whether to give this classic a try, go read IGN's review.",Kaistlin
2,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"Anyone who gives the masterpiece below a 7 or an 8 is either just here to hate on the astounding zelda franchise, doesn't know a DAMN good game or is insane. The dungeons are interesting and unique, the characters are interesting and have personality, the story is highly engaging, the combat is varied, fluid, and fun, the items are amazing, there are a plethora of interesting side questsAnyone who gives the masterpiece below a 7 or an 8 is either just here to hate on the astounding zelda franchise, doesn't know a DAMN good game or is insane. The dungeons are interesting and unique, the characters are interesting and have personality, the story is highly engaging, the combat is varied, fluid, and fun, the items are amazing, there are a plethora of interesting side quests and collectibles, and considering the fact that this game was made in 1998 the graphics are amazing. The only real downside is that the game is somewhat linear and you can't continue on after beating the final boss, but that doesn't detract from the huge amount of fun I had playing this game. This has to be one of if not the best games ever made just as the others have said.",Jacody
3,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"I'm one of those people who think that this is the greatest game of all time, no matter what quality games are out now or will be out ever. This is just plain the best game I've ever played. Why? Partly because it was the first good game I've actually played. When I first got a Nintendo 64 I was considerably young, and yet every game I played I thought was absolutely horrible. All I hadI'm one of those people who think that this is the greatest game of all time, no matter what quality games are out now or will be out ever. This is just plain the best game I've ever played. Why? Partly because it was the first good game I've actually played. When I first got a Nintendo 64 I was considerably young, and yet every game I played I thought was absolutely horrible. All I had were simple objective games, and as a child I thought they were hard and pointless. Then one day Ocarina of Time was brought home and I at first refused to play it. So I watched my father play it for a while, and straight away it was something entirely new and different. Also at the time, it was the most real (to me at least). What brought me in was the ability to actually explore and get to know people, even if the people you talked to all repeated the same things over and over no matter how many times you talked to them, but it didn't matter. This game was something new and exciting to me, and to this day I get this good old nostalgic feeling whenever I play it. It has one of the greatest stories of all time for a video game and was one of the first to create its own sort of universe and it was one of the first 3D environment game where you can see in all 360 degrees (after Mario 64 that is). Plus to this day people are still discovering new secrets to the game and so many in-depth theories arise from this title alone based upon this game that keep it interesting. The characters feel like characters and the visuals are some of the most cinematic of its time. The gameplay is also very fun, which of course is one of the most important things and there are very involving puzzles that are simple enough in appears but very complex when you get down to it. There is so much that I could say about this game, but sometimes even looking back, I'm at a loss of words at how awesome this game is.",doodlerman
4,The Legend of Zelda: Ocarina of Time,Nintendo64,10," This game is the highest rated game on Metacritic and for good reasons. It takes elements from every other game that existed before it and multiplied it several times over. Almost 12 years later, I can play Ocarina of Time and STILL see things that it does, that games of this 2010 decade cannot d. It stands the test of time and will forever be in my heart as the greatest game of all time This game is the highest rated game on Metacritic and for good reasons. It takes elements from every other game that existed before it and multiplied it several times over. Almost 12 years later, I can play Ocarina of Time and STILL see things that it does, that games of this 2010 decade cannot d. It stands the test of time and will forever be in my heart as the greatest game of all time ever in the world. Many games have tried to conquer that title. All have failed. I'm more than happy to say that.",StevenA
5,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"I think it's funny that you have Zelda haters writing reviews based on their personal feelings towards the game, as opposed to how the game play actually was for them. Ocarina of Time was one of the single greatest games ever created. It set a precedence for future games. The graphics were unrivaled at the time, the game actually took real skill to beat it at times. In other words, itI think it's funny that you have Zelda haters writing reviews based on their personal feelings towards the game, as opposed to how the game play actually was for them. Ocarina of Time was one of the single greatest games ever created. It set a precedence for future games. The graphics were unrivaled at the time, the game actually took real skill to beat it at times. In other words, it wasn't something that you would pick up, beat in an hour, and never look at again. I can still pick this game up, and still play through it while enjoying every single second of it.",joei1382
6,The Legend of Zelda: Ocarina of Time,Nintendo64,9,"I played A Link To The Past so many times in my childhood i lost count. When i got OoT for Christmas it was BYE BYE childhood! This game is the very definition of epic, i loved every second of it!",Corvix
7,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"The Legend of Zelda: Ocarina of Time is without a doubt one of the greatest video games of all time. To say that this game was great is an understatement. Ocarina introduced the gaming world to the aspect of open world play with a wonderfully sized map that was large and full of exploration but not in the slightest bit unnecessary. The level and dungeon design was the best of it's time andThe Legend of Zelda: Ocarina of Time is without a doubt one of the greatest video games of all time. To say that this game was great is an understatement. Ocarina introduced the gaming world to the aspect of open world play with a wonderfully sized map that was large and full of exploration but not in the slightest bit unnecessary. The level and dungeon design was the best of it's time and in still to this day remains one of most brilliant, beautiful, and interesting worlds of any video game on the market. Every area you explore from the moment you wake up in the lush and green forest of the Kokiri to the vast and deep desert of the Gerudos' is crafted to perfection. The combat system in Ocarina was also a shining star. Not only did weapons feel right, react well, and play out perfectly, but they were always interesting and had their own advantages. Not once did a weapon outshine another because they all had a great purpose. The Z-Targeting system was added for a more cinematic feel that worked flawlessly and it even made combat easier and more interesting. The music and sounds of the game brought it to life as well. Every area had it's own theme music that was unique to that zone and always felt right and gave the player that more personal feeling wherever he/she went. Kokiri Forest felt like a wonderful place of happiness while Hyrule Field had an epic and powerful tone to it. The addition of musical gameplay made things more interesting as well and showed an importance to every area the player visited. Now, most importantly to the Zelda series itself and to any video game for that matter, comes the story. The Legend of Zelda has always been a series shining in the glory of it's adventures and this was the biggest and most powerful of them all. You begin as a young boy who has always felt left out and who has nightmares of dark visions that would become realities. As you start your quest you realize your true destiny and embark on a journey filled with adventure and courage like no other. The dark king of the Gerudo's Gannondorf seeks the legendary Triforce and will stop at nothing to rule the land of Hyrule. By unleashing monsters from the Temples' of Hyrule and by turning the once good and just land to pure evil, Gannondorf attempts total rule over the world. Link being the Hero of Hyrule must journey to the different lands and temples' of the land in order to gain power from the mystical ""sages"" and stop Gannondorf. The story in Ocarina beings great and never lets go. In fact the game gets better every second that it progresses. You meet many interesting characters such as Princess Ruto, Malon, Darunia, and the mysterious Sheik that not only have their own individual traits, but also contain important roles in your quest. Also, each character is easily remembered and full of emotion which grasps the player and gives them a sense of caring and passion for each one. The many temples and dungeons visited during the game are all fun, unique, and interesting and reward the player as he/she progresses. The game has quite a few side quests that are entertaining and it follows through right up to the end. There is nothing negative about this game and to this day it stands on a pedestal as one of if not the greatest game of all time and for good reason. Since it's release very few games have captured the true story, art, and power Ocarina of Time had mastered back in 1998. To this day I myself still play it and still consider it my favorite game ever. Not because of great graphics, or online play, or anything else that current games have fallen into but because Zelda is a game that touched my heart like no other game ever has. Current game developers and enthusiasts need to look back at The Legend of Zelda: Ocarina of Time and reconsider the direction that games are going. Zelda mastered it, and for that we should honor it.",pittsburghboy91
8,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"            This review contains spoilers, click expand to view.        This game is do doubt the greatest game in existance. Non, except for Nintendo haters, have been able to play this game without admiting it is at least one of the best of the best, if not THE best of the best. Super Mario 64 was the first game to make 3D conversion work, but this was the game that perfected it. It introduced a large 3 dimensional world to explore, which at the time was a huge deal. It also introduced new gameplay mechanics that made the action adventure genre work out even more. Like the lock-on targeting system, which helped to keep your eye on the enemy much easier, but without making the fighting too easy, as you had to meneuver around the enemy and dodge his attacks. Another big new feature was horse-back riding. Riding your horse around the huge field was big and new. It had an engaging story, that really sucked you in, which had lots of twists and turns. Like when Ganondorf attacked the castle, destroying your plan to get the Triforce before Ganon did. Or near the end, when Shiek, the man who helped you on your journey as an adult, reveals himself to be Princess Zelda, the person Link had been searching long and hard for. Another thing was the conversion from Young Link to Adult Link. This was the first Zelda game that introduced Adult Link, making him look more epic, and more like the hero of the legends. But the bigger twist is how you can play as both Young Link and Adult Link. Not only that, but the story counts on you using both of them to make it all the way through the story. There are alot of complicated dungeons with puzzles to solve, which can sometime twist your brain, and make the game much more challenging. What I loved about Zelda was the flawless gameplay and beautiful landscapes. Zelda Ocarina of Time was a first, it brought forth the perfection of 3D conversion, and made it beautiful, but also made the 3D mechanics work with how the game played out, and it worked beautifully. Of course the game isn't perfect, there are a few flaws in Ocarina of Time. Like the Water Temple, which is the most unpopular dungeon in the game. Everyone had a hard time with it, so it proved to be a bit too challenging. Plus in some parts of the game, the graphics don't look good at all. However, these flaws are not severe enough to interfere with the games overall greatness. There may be no such thing as a perfect game, but this game is as close to a perfect game as you can get. Zelda Ocarina of Time won Game of the Year in 1998, and got an honorable award in outstanding gaming achievement in 1999, and it didn't win these awards without good reason. This game is truley the best game of all time, and anyone who thinks they can make a game better than this is absolutely crazy. Sure Ocarina of Time may not be outstanding by todays standards, but considering the technology of gaming at the time, it was the best gaming could offer. Even 13 years after the game came out, Ocarina of Time is still selling like nuts via the Wii Virtual Console, which re-released Ocarina of Time in 2007. In my opinion, Ocarina of Time is, and will always be, the greatest game ever made, and I'm not alone in that statement. I have yet to meet a person who is not a Zelda hater who played Ocarina of Time and thought the games was horrible. Ocarina of Time is the best of the best in gaming, hands down, and it deserves a perfect score more than any game.",Nosidda89
9,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"I'm not kidding when I say that this is the only game I would ever consider to be 'perfect.' Not one person who has ever enjoyed a video game not play this. This isn't even my favourite video game,but I consider it perfect. It really is this good. Anyone who comes along to nit-pick away at Ocarina of Time wouldn't know a good game if it trotted along and killed their grandmother. I'llI'm not kidding when I say that this is the only game I would ever consider to be 'perfect.' Not one person who has ever enjoyed a video game not play this. This isn't even my favourite video game,but I consider it perfect. It really is this good. Anyone who comes along to nit-pick away at Ocarina of Time wouldn't know a good game if it trotted along and killed their grandmother. I'll admit, it's not without flaw; nothing is. But those flaws are merely physical. 'Perfect ' to me means it go everything it could right and remains good to everyone. That is what Ocarina of Time does, and that is what it will continue to do.",Regeneration13
